XsensPlugin_processed_com_acceleration_x;XsensPlugin_processed_com_acceleration_y;XsensPlugin_processed_com_acceleration_z;XsensPlugin_processed_com_position_x;XsensPlugin_processed_com_position_y;XsensPlugin_processed_com_position_z;XsensPlugin_processed_com_velocity_x;XsensPlugin_processed_com_velocity_y;XsensPlugin_processed_com_velocity_z;t
0.346665;-1.41906;0.779674;-0.776936;0.116975;1.01438;0.0761842;-0.561459;-0.0216876;2.13
0.346665;-1.41906;0.779674;-0.776936;0.116975;1.01438;0.0761842;-0.561459;-0.0216876;2.135
0.541176;-1.56236;1.17776;-0.775533;0.107612;1.01401;0.0798856;-0.58243;-0.00202447;2.14
0.541176;-1.56236;1.17776;-0.775533;0.107612;1.01401;0.0798856;-0.58243;-0.00202447;2.145
0.541176;-1.56236;1.17776;-0.775533;0.107612;1.01401;0.0798856;-0.58243;-0.00202447;2.15
0.440222;-1.55286;1.87927;-0.774214;0.0978483;1.0141;0.0713534;-0.598026;0.0208659;2.155
0.440222;-1.55286;1.87927;-0.774214;0.0978483;1.0141;0.0713534;-0.598026;0.0208659;2.16
0.440222;-1.55286;1.87927;-0.774214;0.0978483;1.0141;0.0713534;-0.598026;0.0208659;2.165
0.440222;-1.55286;1.87927;-0.774214;0.0978483;1.0141;0.0713534;-0.598026;0.0208659;2.17
-0.344981;-1.0336;1.30864;-0.772897;0.0877271;1.01454;0.0782797;-0.616406;0.0451503;2.175
-0.344981;-1.0336;1.30864;-0.772897;0.0877271;1.01454;0.0782797;-0.616406;0.0451503;2.18
-0.344981;-1.0336;1.30864;-0.772897;0.0877271;1.01454;0.0782797;-0.616406;0.0451503;2.185
-0.344981;-1.0336;1.30864;-0.772897;0.0877271;1.01454;0.0782797;-0.616406;0.0451503;2.19
-0.150105;-0.796765;0.840376;-0.771528;0.0772842;1.01522;0.0790986;-0.63317;0.0627359;2.195
-0.150105;-0.796765;0.840376;-0.771528;0.0772842;1.01522;0.0790986;-0.63317;0.0627359;2.2
-0.180268;-1.08601;0.787518;-0.770095;0.0664715;1.01621;0.0752803;-0.642385;0.0677222;2.205
-0.180268;-1.08601;0.787518;-0.770095;0.0664715;1.01621;0.0752803;-0.642385;0.0677222;2.21
-0.180268;-1.08601;0.787518;-0.770095;0.0664715;1.01621;0.0752803;-0.642385;0.0677222;2.215
-0.180268;-1.08601;0.787518;-0.770095;0.0664715;1.01621;0.0752803;-0.642385;0.0677222;2.22
-0.0801941;-0.657574;-0.0635859;-0.768614;0.0553356;1.01746;0.0868212;-0.657642;0.0668288;2.225
-0.0801941;-0.657574;-0.0635859;-0.768614;0.0553356;1.01746;0.0868212;-0.657642;0.0668288;2.23
-0.0801941;-0.657574;-0.0635859;-0.768614;0.0553356;1.01746;0.0868212;-0.657642;0.0668288;2.235
0.589585;-0.31282;-0.518888;-0.767072;0.0440559;1.01867;0.0893051;-0.672881;0.065298;2.24
0.589585;-0.31282;-0.518888;-0.767072;0.0440559;1.01867;0.0893051;-0.672881;0.065298;2.245
0.589585;-0.31282;-0.518888;-0.767072;0.0440559;1.01867;0.0893051;-0.672881;0.065298;2.25
0.516001;-0.53065;-0.448856;-0.765417;0.0326031;1.01978;0.0880456;-0.687332;0.0634213;2.255
0.516001;-0.53065;-0.448856;-0.765417;0.0326031;1.01978;0.0880456;-0.687332;0.0634213;2.26
0.516001;-0.53065;-0.448856;-0.765417;0.0326031;1.01978;0.0880456;-0.687332;0.0634213;2.265
0.516001;-0.53065;-0.448856;-0.765417;0.0326031;1.01978;0.0880456;-0.687332;0.0634213;2.27
-0.0131731;-0.659147;-0.182318;-0.763695;0.0210104;1.02085;0.0933776;-0.69995;0.0589329;2.275
-0.0131731;-0.659147;-0.182318;-0.763695;0.0210104;1.02085;0.0933776;-0.69995;0.0589329;2.28
-0.0131731;-0.659147;-0.182318;-0.763695;0.0210104;1.02085;0.0933776;-0.69995;0.0589329;2.285
-0.174067;-0.46106;0.0498595;-0.762039;0.00955132;1.02181;0.09487;-0.707646;0.0539011;2.29
-0.174067;-0.46106;0.0498595;-0.762039;0.00955132;1.02181;0.09487;-0.707646;0.0539011;2.295
-0.174067;-0.46106;0.0498595;-0.762039;0.00955132;1.02181;0.09487;-0.707646;0.0539011;2.3
-0.243059;-0.026198;-0.168458;-0.760491;-0.00163628;1.02259;0.0922644;-0.711363;0.0490484;2.305
-0.243059;-0.026198;-0.168458;-0.760491;-0.00163628;1.02259;0.0922644;-0.711363;0.0490484;2.31
