XsensPlugin_processed_segments_Right Foot_pose_qw;XsensPlugin_processed_segments_Right Foot_pose_qx;XsensPlugin_processed_segments_Right Foot_pose_qy;XsensPlugin_processed_segments_Right Foot_pose_qz;XsensPlugin_processed_segments_Right Foot_pose_tx;XsensPlugin_processed_segments_Right Foot_pose_ty;XsensPlugin_processed_segments_Right Foot_pose_tz;t
0.7044;0.0975716;0.169736;0.682268;-0.8549;-0.637725;0.129983;2.95
0.7044;0.0975716;0.169736;0.682268;-0.8549;-0.637725;0.129983;2.955
0.7044;0.0975716;0.169736;0.682268;-0.8549;-0.637725;0.129983;2.96
0.7044;0.0975716;0.169736;0.682268;-0.8549;-0.637725;0.129983;2.965
0.703782;0.0969483;0.167891;0.683451;-0.852147;-0.645859;0.127734;2.97
0.703782;0.0969483;0.167891;0.683451;-0.852147;-0.645859;0.127734;2.975
0.703782;0.0969483;0.167891;0.683451;-0.852147;-0.645859;0.127734;2.98
0.703782;0.0969483;0.167891;0.683451;-0.852147;-0.645859;0.127734;2.985
0.705366;0.0936087;0.161831;0.683745;-0.849766;-0.652598;0.125067;2.99
0.705366;0.0936087;0.161831;0.683745;-0.849766;-0.652598;0.125067;2.995
0.705366;0.0936087;0.161831;0.683745;-0.849766;-0.652598;0.125067;3
0.710656;0.0870085;0.150147;0.681801;-0.848079;-0.657815;0.121825;3.005
0.710656;0.0870085;0.150147;0.681801;-0.848079;-0.657815;0.121825;3.01
0.710656;0.0870085;0.150147;0.681801;-0.848079;-0.657815;0.121825;3.015
0.717866;0.0776573;0.134188;0.678698;-0.846765;-0.661638;0.118164;3.02
0.717866;0.0776573;0.134188;0.678698;-0.846765;-0.661638;0.118164;3.025
0.717866;0.0776573;0.134188;0.678698;-0.846765;-0.661638;0.118164;3.03
0.723823;0.0662018;0.118025;0.676585;-0.84579;-0.665882;0.114961;3.035
0.723823;0.0662018;0.118025;0.676585;-0.84579;-0.665882;0.114961;3.04
0.723823;0.0662018;0.118025;0.676585;-0.84579;-0.665882;0.114961;3.045
0.727386;0.0512355;0.102453;0.6766;-0.845216;-0.67164;0.112562;3.05
0.727386;0.0512355;0.102453;0.6766;-0.845216;-0.67164;0.112562;3.055
0.727386;0.0512355;0.102453;0.6766;-0.845216;-0.67164;0.112562;3.06
0.727386;0.0512355;0.102453;0.6766;-0.845216;-0.67164;0.112562;3.065
0.72959;0.0341685;0.0866737;0.67751;-0.844981;-0.677821;0.110621;3.07
0.72959;0.0341685;0.0866737;0.67751;-0.844981;-0.677821;0.110621;3.075
