XsensPlugin_processed_segments_Left Foot_pose_qw;XsensPlugin_processed_segments_Left Foot_pose_qx;XsensPlugin_processed_segments_Left Foot_pose_qy;XsensPlugin_processed_segments_Left Foot_pose_qz;XsensPlugin_processed_segments_Left Foot_pose_tx;XsensPlugin_processed_segments_Left Foot_pose_ty;XsensPlugin_processed_segments_Left Foot_pose_tz;t
0.662707;-0.00666548;0.00862857;-0.7488;1.86759;-1.96846;0.103692;11.39
0.662707;-0.00666548;0.00862857;-0.7488;1.86759;-1.96846;0.103692;11.395
0.662761;-0.00663514;0.00836156;-0.748755;1.86763;-1.9684;0.10367;11.4
0.662761;-0.00663514;0.00836156;-0.748755;1.86763;-1.9684;0.10367;11.405
0.662761;-0.00663514;0.00836156;-0.748755;1.86763;-1.9684;0.10367;11.41
0.662761;-0.00663514;0.00836156;-0.748755;1.86763;-1.9684;0.10367;11.415
0.662831;-0.00655418;0.00806803;-0.748697;1.86767;-1.96832;0.103643;11.42
0.662831;-0.00655418;0.00806803;-0.748697;1.86767;-1.96832;0.103643;11.425
0.662831;-0.00655418;0.00806803;-0.748697;1.86767;-1.96832;0.103643;11.43
0.662909;-0.00643093;0.00780388;-0.748632;1.86769;-1.96825;0.103612;11.435
0.662909;-0.00643093;0.00780388;-0.748632;1.86769;-1.96825;0.103612;11.44
0.662909;-0.00643093;0.00780388;-0.748632;1.86769;-1.96825;0.103612;11.445
0.662909;-0.00643093;0.00780388;-0.748632;1.86769;-1.96825;0.103612;11.45
0.662987;-0.0062803;0.00759776;-0.748566;1.86771;-1.96818;0.103576;11.455
0.662987;-0.0062803;0.00759776;-0.748566;1.86771;-1.96818;0.103576;11.46
0.662987;-0.0062803;0.00759776;-0.748566;1.86771;-1.96818;0.103576;11.465
0.663074;-0.00608739;0.00742102;-0.748492;1.86772;-1.96811;0.103535;11.47
0.663074;-0.00608739;0.00742102;-0.748492;1.86772;-1.96811;0.103535;11.475
0.663074;-0.00608739;0.00742102;-0.748492;1.86772;-1.96811;0.103535;11.48
0.663074;-0.00608739;0.00742102;-0.748492;1.86772;-1.96811;0.103535;11.485
0.663187;-0.00581585;0.00724362;-0.748396;1.86772;-1.96802;0.10349;11.49
0.663187;-0.00581585;0.00724362;-0.748396;1.86772;-1.96802;0.10349;11.495
0.663187;-0.00581585;0.00724362;-0.748396;1.86772;-1.96802;0.10349;11.5
0.663336;-0.00548739;0.00701876;-0.748269;1.86772;-1.96793;0.103436;11.505
0.663336;-0.00548739;0.00701876;-0.748269;1.86772;-1.96793;0.103436;11.51
0.663336;-0.00548739;0.00701876;-0.748269;1.86772;-1.96793;0.103436;11.515
0.663511;-0.0050803;0.00679325;-0.748119;1.86771;-1.96782;0.103377;11.52
0.663511;-0.0050803;0.00679325;-0.748119;1.86771;-1.96782;0.103377;11.525
0.663511;-0.0050803;0.00679325;-0.748119;1.86771;-1.96782;0.103377;11.53
0.663511;-0.0050803;0.00679325;-0.748119;1.86771;-1.96782;0.103377;11.535
0.6637;-0.00449311;0.00667743;-0.747956;1.86766;-1.9677;0.103331;11.54
0.6637;-0.00449311;0.00667743;-0.747956;1.86766;-1.9677;0.103331;11.545
